region,population,density_km2,median_income,unemployment_rate,pct_under_25,pct_rental,pct_urban,deprivation_index,vehicles_per_capita,source_notes
Auckland,1695200,343.09,37000,4.3,33.2,36.1,99.3,5.2,0.58,Stats NZ Census 2018 / HLFS 2023
Canterbury,655000,14.72,34200,3.2,31.4,31.0,87.2,4.5,0.67,Stats NZ Census 2018 / HLFS 2023
Waikato,513800,21.50,33000,4.5,33.1,29.8,75.4,5.8,0.65,Stats NZ Census 2018 / HLFS 2023
Wellington,543500,67.52,38500,3.8,31.0,35.2,96.8,4.1,0.55,Stats NZ Census 2018 / HLFS 2023
Bay of Plenty,347700,28.80,31200,5.1,31.8,28.4,78.0,6.5,0.63,Stats NZ Census 2018 / HLFS 2023
Northland,201500,16.11,27500,6.8,31.6,26.5,51.8,7.8,0.62,Stats NZ Census 2018 / HLFS 2023
Gisborne,52100,6.21,26000,7.2,35.0,30.2,66.4,8.9,0.58,Stats NZ Census 2018 / HLFS 2023
Hawke's Bay,182700,12.92,30800,4.8,31.5,28.6,76.0,6.4,0.64,Stats NZ Census 2018 / HLFS 2023
Manawatū-Whanganui,258200,11.62,30500,5.0,32.8,29.5,71.6,6.6,0.65,Stats NZ Census 2018 / HLFS 2023
Taranaki,127300,17.55,33500,3.5,30.8,25.0,67.5,5.3,0.70,Stats NZ Census 2018 / HLFS 2023
Otago,246000,7.89,32000,3.0,34.0,34.2,77.8,4.8,0.62,Stats NZ Census 2018 / HLFS 2023
Nelson,54500,129.15,32500,3.3,28.0,30.0,95.0,4.6,0.65,Stats NZ Census 2018 / HLFS 2023
Southland,102400,3.28,34000,2.8,29.5,22.8,62.0,5.5,0.72,Stats NZ Census 2018 / HLFS 2023
