model,akl_rate,akl_thefts,akl_fleet,cant_rate,cant_thefts,cant_fleet,rate_ratio_akl_cant,higher_in
Mazda CX-5,0.6038343481105017,12,19873,0.5419319875355644,4,7381,1.1142253308509031,Auckland
Toyota Wish,7.28718118582312,44,6038,7.744433688286544,16,2066,0.9409572706194104,Canterbury
Nissan Tiida,7.18728403593642,104,14470,7.952286282306162,44,5533,0.9038009675190048,Canterbury
Mitsubishi Outlander,1.812141347025068,24,13244,2.02122283981809,12,5937,0.8965569314406524,Canterbury
Mazda Demio,5.620684117552593,70,12454,6.324110671936759,32,5060,0.8887706760880039,Canterbury
Suzuki Swift,1.3554267900105046,40,29511,1.5483870967741935,18,11625,0.8753798018817842,Canterbury
Honda CRV,0.9489916963226571,12,12645,1.094890510948905,6,5480,0.8667457493080268,Canterbury
Toyota Corolla,1.0670424803704448,106,99340,1.2482446559525666,56,44863,0.8548344070867726,Canterbury
Honda Fit,4.932182490752158,56,11354,5.853658536585366,24,4100,0.8425811755034937,Canterbury
Nissan X-Trail,1.512205659969756,14,9258,1.7953321364452424,8,4456,0.8422985526031541,Canterbury
Toyota RAV4,0.8754012255617158,18,20562,1.0421008753647354,10,9596,0.8400350160490224,Canterbury
Subaru Legacy,8.473293993039794,56,6609,10.129431626336522,36,3554,0.8365024125350953,Canterbury
Toyota Aqua,5.913929578746247,130,21982,7.351860020585208,50,6801,0.8044127013010646,Canterbury
Toyota Caldina,9.178990311065782,18,1961,11.76470588235294,12,1020,0.7802141764405915,Canterbury
Nissan Wingroad,9.442870632672332,20,2118,12.345679012345679,10,810,0.7648725212464589,Canterbury
Mazda Atenza,6.5427509293680295,44,6725,8.922443376801647,26,2914,0.7332913926222476,Canterbury
Ford Courier,21.080368906455863,16,759,32.55813953488372,28,860,0.64746847355543,Canterbury
Ford Ranger,1.0852713178294573,28,25800,2.0591085271317833,34,16512,0.5270588235294117,Canterbury
Mazda Bounty,13.043478260869565,12,920,26.08695652173913,24,920,0.5,Canterbury
Toyota Hilux,1.9494987003341997,84,43088,3.9755351681957185,104,26160,0.4903739038532949,Canterbury
