region,thefts,population,density,rate_per_10k,thefts_annual_est,annual_rate_per_10k,pct_of_total
Auckland,1107,1695200.0,343.09,6.5,2214,13.0,35.6
Canterbury,422,655000.0,14.72,6.4,844,12.8,13.6
Bay of Plenty,329,347700.0,28.8,9.5,658,19.0,10.6
Wellington,280,543500.0,67.52,5.2,560,10.4,9.0
Waikato,259,513800.0,21.5,5.0,518,10.0,8.3
Northland,171,201500.0,16.11,8.5,342,17.0,5.5
Gisborne,142,52100.0,6.21,27.3,284,54.6,4.6
Manawatū-Whanganui,97,258200.0,11.62,3.8,194,7.6,3.1
Otago,96,246000.0,7.89,3.9,192,7.8,3.1
Taranaki,73,127300.0,17.55,5.7,146,11.4,2.3
Hawke's Bay,64,182700.0,12.92,3.5,128,7.0,2.1
Nelson,52,54500.0,129.15,9.5,104,19.0,1.7
Southland,20,102400.0,3.28,2.0,40,4.0,0.6
